Date: 2018-03-24;;;;;;;;;;;
VIDEOS;Madroño;Cipres;Cedro;Eucalipto;Pino;PalmeiraDatiles;PalmeiraAbanicoChino;Silva;Flamboyano;Aciñeira;
FollasMoitas;0;0;0;0;1;0;0;0;1;4;6
Outro;0;0;0;0;1;0;1;0;0;0;2
FollasCerca;6;1;0;0;3;0;1;2;0;2;15
Tronco;0;0;0;2;4;1;0;0;0;4;11
VistaCompleta;0;0;1;0;3;1;3;0;0;0;8
;6;1;1;2;12;2;5;2;1;10;42
FRAMES;Madroño;Cipres;Cedro;Eucalipto;Pino;PalmeiraDatiles;PalmeiraAbanicoChino;Silva;Flamboyano;Aciñeira;
FollasMoitas;0;0;0;0;127;0;0;0;438;903;1468
Outro;0;0;0;0;90;0;305;0;0;0;395
FollasCerca;1339;196;0;0;751;0;419;222;0;412;3339
Tronco;0;0;0;515;1109;262;0;0;0;728;2614
VistaCompleta;0;0;131;0;591;184;254;0;0;0;1160
;1339;196;131;515;2668;446;978;222;438;2043;8976
