Date: 2018-03-25;;;;;;;;;;;;;;;;
VIDEOS;Madroño;Cipres;Cedro;Eucalipto;CarrerArt;PlataneroPaseo;Magnolio;Olivo;Laranxeira;Pino;PalmeiraDatiles;PalmeiraAbanicoChino;Silva;Flamboyano;Aciñeira;
FollasMoitas;0;1;0;1;1;0;3;1;3;3;1;0;0;1;4;19
Outro;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2
FollasCerca;6;3;0;2;0;0;2;1;1;5;3;2;2;0;2;29
Tronco;0;0;0;4;1;1;2;1;1;7;3;5;0;0;4;29
VistaCompleta;0;2;1;0;2;0;1;3;2;4;2;5;0;0;0;22
Copa;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;5
;6;6;1;7;4;1;8;6;7;20;11;16;2;1;10;106
FRAMES;Madroño;Cipres;Cedro;Eucalipto;CarrerArt;PlataneroPaseo;Magnolio;Olivo;Laranxeira;Pino;PalmeiraDatiles;PalmeiraAbanicoChino;Silva;Flamboyano;Aciñeira;
FollasMoitas;0;152;0;169;130;0;449;138;712;549;147;0;0;438;903;3787
Outro;0;0;0;0;0;0;0;0;0;90;0;305;0;0;0;395
FollasCerca;1339;990;0;402;0;0;252;314;237;1200;640;680;222;0;412;6688
Tronco;0;0;0;917;286;246;422;188;243;1796;811;1110;0;0;728;6747
VistaCompleta;0;226;131;0;453;0;201;394;199;744;339;478;0;0;0;3165
Copa;0;0;0;0;0;0;0;0;0;0;214;268;0;0;0;482
;1339;1368;131;1488;869;246;1324;1034;1391;4379;2151;2841;222;438;2043;21264
