Date: 2018-04-02;;;;;;;;;;;;;;;;;;
VIDEOS;Madroño;Abeto;Cipres;Cedro;Eucalipto;CarrerArt;Abedul;PlataneroPaseo;Magnolio;Olivo;Laranxeira;Pino;PalmeiraDatiles;PalmeiraAbanicoChino;Silva;Flamboyano;Aciñeira;
FollasMoitas;0;4;1;0;1;1;0;0;3;1;3;3;1;0;0;1;4;23
Outro;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2
FollasCerca;6;5;3;2;2;0;0;0;2;1;1;9;3;2;2;0;2;40
Tronco;0;1;1;0;4;1;2;1;2;1;1;7;3;5;0;0;4;33
VistaCompleta;0;1;2;2;0;2;0;0;1;3;2;5;2;5;0;0;0;25
Copa;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;5
;6;11;7;4;7;4;2;1;8;6;7;25;11;16;2;1;10;128
FRAMES;Madroño;Abeto;Cipres;Cedro;Eucalipto;CarrerArt;Abedul;PlataneroPaseo;Magnolio;Olivo;Laranxeira;Pino;PalmeiraDatiles;PalmeiraAbanicoChino;Silva;Flamboyano;Aciñeira;
FollasMoitas;0;619;152;0;169;130;0;0;449;138;712;549;147;0;0;438;903;4406
Outro;0;0;0;0;0;0;0;0;0;0;0;90;0;305;0;0;0;395
FollasCerca;1339;692;990;279;402;0;0;0;252;314;237;1627;640;680;222;0;412;8086
Tronco;0;287;275;0;917;286;671;246;422;188;243;1796;811;1110;0;0;728;7980
VistaCompleta;0;200;226;283;0;453;0;0;201;394;199;826;339;478;0;0;0;3599
Copa;0;0;0;0;0;0;0;0;0;0;0;0;214;268;0;0;0;482
;1339;1798;1643;562;1488;869;671;246;1324;1034;1391;4888;2151;2841;222;438;2043;24948
