Date: 2018-05-01;;;;;;;;;;;;;;;;;;;;;;;;;
VIDEOS;Silva;Magnolio;Hedra;PalmeiraAbanicoChino;ArboreBotella;Morera;CarrerArt;Flamboyano;Aciñeira;Cipres;Laranxeira;Madroño;Fresno;Carballo;Cedro;Espino;Eucalipto;Figueira;Pino;Abedul;PlataneroPaseo;Olivo;PalmeiraDatiles;Abeto;
FollasMoitas;0;3;0;0;0;0;1;1;4;1;3;0;0;0;0;0;1;0;3;0;0;1;1;4;23
Outro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
FollasCerca;2;2;0;2;0;3;0;0;2;3;1;6;2;0;2;0;2;0;9;0;0;1;3;5;45
Tronco;0;2;0;5;0;1;1;0;4;1;1;0;0;0;0;0;4;0;7;2;1;1;3;1;34
VistaCompleta;0;1;0;5;0;0;2;0;0;2;2;0;0;0;2;0;0;0;5;0;0;3;2;1;25
Copa;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5
;2;8;0;16;0;4;4;1;10;7;7;6;2;0;4;0;7;0;25;2;1;6;11;11;134
FRAMES;Silva;Magnolio;Hedra;PalmeiraAbanicoChino;ArboreBotella;Morera;CarrerArt;Flamboyano;Aciñeira;Cipres;Laranxeira;Madroño;Fresno;Carballo;Cedro;Espino;Eucalipto;Figueira;Pino;Abedul;PlataneroPaseo;Olivo;PalmeiraDatiles;Abeto;
FollasMoitas;0;449;0;0;0;0;130;438;903;152;712;0;0;0;0;0;169;0;549;0;0;138;147;619;4406
Outro;0;0;0;305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;395
FollasCerca;222;252;0;680;0;750;0;0;412;990;237;1339;432;0;279;0;402;0;1627;0;0;314;640;692;9268
Tronco;0;422;0;1110;0;285;286;0;728;275;243;0;0;0;0;0;917;0;1796;671;246;188;811;287;8265
VistaCompleta;0;201;0;478;0;0;453;0;0;226;199;0;0;0;283;0;0;0;826;0;0;394;339;200;3599
Copa;0;0;0;268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214;0;482
;222;1324;0;2841;0;1035;869;438;2043;1643;1391;1339;432;0;562;0;1488;0;4888;671;246;1034;2151;1798;26415
FOTOS;Silva;Magnolio;Hedra;PalmeiraAbanicoChino;ArboreBotella;Morera;CarrerArt;Flamboyano;Aciñeira;Cipres;Laranxeira;Madroño;Fresno;Carballo;Cedro;Espino;Eucalipto;Figueira;Pino;Abedul;PlataneroPaseo;Olivo;PalmeiraDatiles;Abeto;
;31;0;22;0;7;18;0;0;10;16;6;0;6;19;30;13;0;9;29;0;0;9;0;0
